Company,Inches,Cpu,Ram,Memory,Gpu,Price,Price in Dollars
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,50882.4,610.5888
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,46353.6,556.2432
MSI,17.3,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,58341.6,700.0992
Acer,14.0,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,20725.92,248.71104
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,50562.72,606.75264
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,27652.32,331.82784
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,45554.4,546.6528000000001
Acer,15.6,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,28238.4,338.86080000000004
HP,17.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,52054.56,624.65472
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,58403.4048,700.8408575999999
Apple,12.0,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,80452.8,965.4336000000001
HP,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,45820.8,549.8496
Lenovo,15.6,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,21258.72,255.10464000000002
Acer,15.6,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5,21045.6,252.54719999999998
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,71874.72,862.4966400000001
HP,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,37242.72,446.91264
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,31914.1872,382.9702464
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,77202.72,926.43264
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,87858.72,1054.30464
Asus,15.6,AMD FX 9830P 3GHz,8,1TB HDD,AMD Radeon RX 560,37242.72,446.91264
Acer,15.6,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX150,36709.92,440.51903999999996
HP,13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,63776.16,765.31392
Dell,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1060,63669.6,764.0352
Asus,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,55890.72,670.6886400000001
Acer,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,45128.16,541.5379200000001
Dell,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,31962.672,383.552064
Dell,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,25840.8,310.0896
Asus,15.6,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia GeForce 920M,30742.56,368.91072
HP,15.6,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,66546.72,798.56064
HP,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon 530,38308.32,459.69984
HP,15.6,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,18594.72,223.13664000000003
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 520,34472.16,413.66592
HP,13.3,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce MX150,59620.32,715.44384
Microsoft,13.5,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,71395.2,856.7424
HP,14.0,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,35111.52,421.33824
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,22105.872,265.270464
Asus,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,63563.04,762.75648
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,69210.72,830.52864
Lenovo,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,78854.4,946.2528
Asus,15.6,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,67239.36,806.8723200000001
Dell,13.3,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,73473.12,881.6774399999999
Lenovo,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,74538.72,894.46464
HP,14.0,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,38468.16,461.61792
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,86793.12,1041.51744
HP,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,74538.1872,894.4582464
HP,14.0,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,57755.52,693.06624
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,60223.98239999999,722.6877887999999
Asus,17.3,Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 920MX,30049.92,360.59904
Asus,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 940MX,59567.04,714.80448
Acer,15.6,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,25521.12,306.25344
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,119427.12,1433.12544
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,33513.119999999995,402.15743999999995
HP,17.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 930MX ,67718.88,812.62656
Acer,15.6,AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,24029.28,288.35136
HP,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,13799.52,165.59424
HP,14.0,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,43263.36,519.1603200000001
Asus,14.0,AMD E-Series 6110 1.5GHz,4,64GB SSD,AMD Radeon R2,14811.3072,177.7356864
Dell,17.3,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,74378.87999999999,892.5465599999999
HP,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,49443.84,593.3260799999999
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,34045.3872,408.5446464
Dell,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,23922.72,287.07264000000004
Acer,14.0,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,47099.52,565.1942399999999
Acer,15.6,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,30476.16,365.71392000000003
HP,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Intel HD Graphics 620,31861.44,382.33727999999996
HP,14.0,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,52640.64,631.68768
Lenovo,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,13445.7408,161.3488896
Asus,17.3,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,49976.64,599.71968
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,26586.72,319.04064
HP,13.3,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,37242.72,446.91264
Acer,17.3,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,34898.4,418.7808
Lenovo,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon RX 550,59461.5456,713.5385472
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050M,46300.32,555.60384
Toshiba,15.6,Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,32074.56,384.89472
HP,15.6,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,19660.32,235.92384
Asus,14.0,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,58554.72,702.65664
HP,12.5,Intel Core M 6Y75 1.2GHz,8,512GB SSD,Intel HD Graphics 515,107305.92,1287.67104
Asus,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,18328.32,219.93984
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,108105.12,1297.26144
Acer,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,23816.16,285.79392
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,66560.5728,798.7268736
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,1.0TB Hybrid,Nvidia GeForce GTX 1050,47898.72,574.7846400000001
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,26533.44,318.40128
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,100699.2,1208.3904
HP,14.0,Intel Core i5 7500U 2.7GHz,4,256GB SSD,Intel HD Graphics 620,57648.96,691.78752
HP,15.6,Intel Core i5 8250U 1.6GHz,6,256GB SSD,AMD Radeon 520,32980.32,395.76384
Lenovo,14.0,Intel Core i3 7100U 2.4GHz,4,256GB SSD,Intel HD Graphics 620,33513.119999999995,402.15743999999995
Asus,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,70063.2,840.7583999999999
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,55890.72,670.6886400000001
Toshiba,15.6,Intel Core i3 6006U 2.2GHz,4,500GB HDD,Intel HD Graphics 520,23816.16,285.79392
Asus,15.6,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5 M420,21471.84,257.66208
Acer,17.3,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Nvidia GeForce MX150,42890.4,514.6848
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 520,38787.84,465.45408
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Nvidia GeForce GTX 1050 Ti,57489.12,689.86944
Acer,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,18541.44,222.49728
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,95850.72,1150.20864
Acer,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,19367.8128,232.4137536
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,56502.9072,678.0348864
Acer,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,45501.12,546.0134400000001
HP,13.3,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,40173.12,482.07744
Huawei,13.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,71874.72,862.4966400000001
HP,17.3,Intel Core i5 7200U 2.5GHz,6,2TB HDD,AMD Radeon 520,37242.72,446.91264
Lenovo,15.6,AMD A6-Series 9220 2.9GHz,4,500GB HDD,AMD Radeon R4 Graphics,16463.52,197.56224
Toshiba,15.6,Intel Core i3 7100U 2.4GHz,4,500GB HDD,Intel HD Graphics 620,26053.92,312.64704
HP,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX,49177.44,590.12928
Dell,15.6,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Intel HD Graphics 620,24455.52,293.46624
Acer,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,23922.72,287.07264000000004
MSI,18.4,Intel Core i7 6920HQ 2.9GHz,32,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,149130.72,1789.56864
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,43316.64,519.79968
HP,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,79866.72,958.4006400000001
Dell,15.6,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,55890.72,670.6886400000001
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,74538.72,894.46464
Lenovo,13.9,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,98514.72,1182.1766400000001
Toshiba,15.6,Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,42251.04,507.01248000000004
Xiaomi,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,63882.72,766.5926400000001
Dell,17.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 150MX,82530.72,990.36864
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,127712.16,1532.54592
Lenovo,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,41505.12,498.06144000000006
Acer,13.3,Intel Core i5 7Y54 1.2GHz,8,256GB SSD,Intel HD Graphics 615,52693.92,632.32704
Dell,17.3,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,57808.8,693.7056
Lenovo,14.0,Intel Core i7 7500U 2.7GHz,16,1TB SSD,Intel HD Graphics 620,150462.72,1805.55264
Vero,14.0,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,13852.8,166.2336
Xiaomi,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce MX150,53274.67199999999,639.2960639999999
Lenovo,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,37189.44,446.27328000000006
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,44701.92,536.42304
HP,17.3,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,48697.92,584.37504
Razer,17.3,Intel Core i7 7820HK 2.9GHz,32,1TB SSD,Nvidia GeForce GTX 1080,324954.72,3899.45664
HP,13.3,Intel Core i5 8250U 1.6GHz,8,512GB SSD,Intel UHD Graphics 620,51095.52,613.1462399999999
HP,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,73473.12,881.6774399999999
HP,17.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 930MX ,55677.6,668.1312
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,98301.6,1179.6192
Lenovo,15.6,Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,26267.04,315.20448
Acer,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 940MX,39533.76,474.40512
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,93186.72,1118.24064
Dell,15.6,Intel Xeon E3-1505M V6 3GHz,16,256GB SSD +  1TB HDD,Nvidia Quadro M1200,162770.4,1953.2448
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1060,74485.44,893.82528
Dell,15.6,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,23389.92,280.67904
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,103842.72,1246.11264
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,77202.72,926.43264
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,31808.16,381.69792
Acer,15.6,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,41505.12,498.06144000000006
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,74964.95999999999,899.5795199999999
HP,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,18594.72,223.13664000000003
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,29250.72,351.00864
Huawei,13.0,Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,79866.72,958.4006400000001
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,49650.5664,595.8067968
Lenovo,17.3,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 940MX,31381.92,376.58304
HP,14.0,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 930MX,54931.68,659.18016
Dell,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,61218.72,734.62464
Dell,13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,68145.12,817.74144
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 520,36089.208,433.070496
Lenovo,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,47898.72,574.7846400000001
Toshiba,13.3,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,72620.64,871.44768
HP,15.6,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,42304.32,507.65184
